city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,7
sj,2008,20,7
sj,2008,21,9
sj,2008,22,14
sj,2008,23,21
sj,2008,24,21
sj,2008,25,16
sj,2008,26,20
sj,2008,27,24
sj,2008,28,34
sj,2008,29,26
sj,2008,30,33
sj,2008,31,38
sj,2008,32,27
sj,2008,33,60
sj,2008,34,32
sj,2008,35,78
sj,2008,36,49
sj,2008,37,49
sj,2008,38,79
sj,2008,39,53
sj,2008,40,26
sj,2008,41,77
sj,2008,42,32
sj,2008,43,47
sj,2008,44,45
sj,2008,45,36
sj,2008,46,33
sj,2008,47,22
sj,2008,48,17
sj,2008,49,16
sj,2008,50,20
sj,2008,51,13
sj,2008,52,12
sj,2009,1,36
sj,2009,2,11
sj,2009,3,11
sj,2009,4,10
sj,2009,5,11
sj,2009,6,7
sj,2009,7,8
sj,2009,8,8
sj,2009,9,6
sj,2009,10,10
sj,2009,11,3
sj,2009,12,4
sj,2009,13,7
sj,2009,14,3
sj,2009,15,5
sj,2009,16,6
sj,2009,17,6
sj,2009,18,7
sj,2009,19,5
sj,2009,20,9
sj,2009,21,16
sj,2009,22,18
sj,2009,23,13
sj,2009,24,25
sj,2009,25,20
sj,2009,26,21
sj,2009,27,20
sj,2009,28,36
sj,2009,29,23
sj,2009,30,55
sj,2009,31,65
sj,2009,32,64
sj,2009,33,79
sj,2009,34,30
sj,2009,35,57
sj,2009,36,84
sj,2009,37,29
sj,2009,38,55
sj,2009,39,76
sj,2009,40,73
sj,2009,41,46
sj,2009,42,31
sj,2009,43,88
sj,2009,44,73
sj,2009,45,43
sj,2009,46,26
sj,2009,47,31
sj,2009,48,20
sj,2009,49,12
sj,2009,50,16
sj,2009,51,10
sj,2009,52,10
sj,2010,53,28
sj,2010,1,11
sj,2010,2,9
sj,2010,3,27
sj,2010,4,11
sj,2010,5,10
sj,2010,6,11
sj,2010,7,12
sj,2010,8,12
sj,2010,9,4
sj,2010,10,7
sj,2010,11,7
sj,2010,12,11
sj,2010,13,7
sj,2010,14,7
sj,2010,15,3
sj,2010,16,4
sj,2010,17,4
sj,2010,18,11
sj,2010,19,5
sj,2010,20,5
sj,2010,21,11
sj,2010,22,30
sj,2010,23,12
sj,2010,24,19
sj,2010,25,8
sj,2010,26,21
sj,2010,27,32
sj,2010,28,48
sj,2010,29,132
sj,2010,30,17
sj,2010,31,57
sj,2010,32,18
sj,2010,33,32
sj,2010,34,66
sj,2010,35,55
sj,2010,36,72
sj,2010,37,53
sj,2010,38,74
sj,2010,39,79
sj,2010,40,48
sj,2010,41,28
sj,2010,42,80
sj,2010,43,44
sj,2010,44,44
sj,2010,45,59
sj,2010,46,24
sj,2010,47,14
sj,2010,48,14
sj,2010,49,15
sj,2010,50,25
sj,2010,51,18
sj,2011,52,18
sj,2011,1,11
sj,2011,2,12
sj,2011,3,10
sj,2011,4,12
sj,2011,5,12
sj,2011,6,13
sj,2011,7,12
sj,2011,8,9
sj,2011,9,8
sj,2011,10,4
sj,2011,11,3
sj,2011,12,3
sj,2011,13,4
sj,2011,14,7
sj,2011,15,5
sj,2011,16,3
sj,2011,17,6
sj,2011,18,3
sj,2011,19,6
sj,2011,20,37
sj,2011,21,37
sj,2011,22,12
sj,2011,23,5
sj,2011,24,35
sj,2011,25,18
sj,2011,26,21
sj,2011,27,30
sj,2011,28,36
sj,2011,29,23
sj,2011,30,52
sj,2011,31,28
