city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,6
sj,2008,20,6
sj,2008,21,7
sj,2008,22,6
sj,2008,23,7
sj,2008,24,6
sj,2008,25,9
sj,2008,26,21
sj,2008,27,19
sj,2008,28,7
sj,2008,29,21
sj,2008,30,21
sj,2008,31,21
sj,2008,32,40
sj,2008,33,61
sj,2008,34,54
sj,2008,35,75
sj,2008,36,94
sj,2008,37,66
sj,2008,38,66
sj,2008,39,39
sj,2008,40,66
sj,2008,41,59
sj,2008,42,39
sj,2008,43,39
sj,2008,44,47
sj,2008,45,39
sj,2008,46,28
sj,2008,47,28
sj,2008,48,23
sj,2008,49,37
sj,2008,50,27
sj,2008,51,19
sj,2008,52,27
sj,2009,1,12
sj,2009,2,12
sj,2009,3,12
sj,2009,4,9
sj,2009,5,9
sj,2009,6,9
sj,2009,7,8
sj,2009,8,7
sj,2009,9,7
sj,2009,10,6
sj,2009,11,6
sj,2009,12,6
sj,2009,13,6
sj,2009,14,6
sj,2009,15,6
sj,2009,16,6
sj,2009,17,6
sj,2009,18,6
sj,2009,19,6
sj,2009,20,6
sj,2009,21,6
sj,2009,22,19
sj,2009,23,6
sj,2009,24,7
sj,2009,25,19
sj,2009,26,9
sj,2009,27,21
sj,2009,28,21
sj,2009,29,37
sj,2009,30,37
sj,2009,31,37
sj,2009,32,21
sj,2009,33,54
sj,2009,34,54
sj,2009,35,94
sj,2009,36,67
sj,2009,37,66
sj,2009,38,67
sj,2009,39,59
sj,2009,40,94
sj,2009,41,94
sj,2009,42,94
sj,2009,43,75
sj,2009,44,67
sj,2009,45,59
sj,2009,46,28
sj,2009,47,28
sj,2009,48,36
sj,2009,49,60
sj,2009,50,36
sj,2009,51,36
sj,2009,52,31
sj,2010,53,38
sj,2010,1,12
sj,2010,2,12
sj,2010,3,15
sj,2010,4,9
sj,2010,5,9
sj,2010,6,9
sj,2010,7,8
sj,2010,8,7
sj,2010,9,7
sj,2010,10,6
sj,2010,11,6
sj,2010,12,6
sj,2010,13,6
sj,2010,14,6
sj,2010,15,6
sj,2010,16,6
sj,2010,17,18
sj,2010,18,19
sj,2010,19,6
sj,2010,20,19
sj,2010,21,19
sj,2010,22,55
sj,2010,23,40
sj,2010,24,40
sj,2010,25,50
sj,2010,26,35
sj,2010,27,40
sj,2010,28,40
sj,2010,29,50
sj,2010,30,35
sj,2010,31,40
sj,2010,32,40
sj,2010,33,55
sj,2010,34,64
sj,2010,35,75
sj,2010,36,75
sj,2010,37,66
sj,2010,38,66
sj,2010,39,46
sj,2010,40,66
sj,2010,41,66
sj,2010,42,59
sj,2010,43,99
sj,2010,44,39
sj,2010,45,39
sj,2010,46,19
sj,2010,47,27
sj,2010,48,19
sj,2010,49,27
sj,2010,50,27
sj,2010,51,19
sj,2011,52,27
sj,2011,1,12
sj,2011,2,12
sj,2011,3,12
sj,2011,4,9
sj,2011,5,9
sj,2011,6,9
sj,2011,7,8
sj,2011,8,7
sj,2011,9,7
sj,2011,10,6
sj,2011,11,6
sj,2011,12,6
sj,2011,13,6
sj,2011,14,6
sj,2011,15,6
sj,2011,16,6
sj,2011,17,6
sj,2011,18,6
sj,2011,19,6
sj,2011,20,6
sj,2011,21,18
sj,2011,22,32
sj,2011,23,18
sj,2011,24,50
sj,2011,25,35
sj,2011,26,35
sj,2011,27,40
sj,2011,28,35
sj,2011,29,30
sj,2011,30,40
sj,2011,31,36
sj,2011,32,35
sj,2011,33,55
sj,2011,34,70
sj,2011,35,54
sj,2011,36,59
sj,2011,37,75
sj,2011,38,47
sj,2011,39,46
sj,2011,40,90
sj,2011,41,71
sj,2011,42,47
sj,2011,43,47
sj,2011,44,47
sj,2011,45,47
sj,2011,46,28
sj,2011,47,28
sj,2011,48,24
sj,2011,49,27
sj,2011,50,19
sj,2011,51,27
sj,2012,52,27
sj,2012,1,12
sj,2012,2,12
sj,2012,3,12
sj,2012,4,9
sj,2012,5,9
sj,2012,6,9
sj,2012,7,8
sj,2012,8,7
sj,2012,9,7
sj,2012,10,6
sj,2012,11,6
sj,2012,12,6
sj,2012,13,6
sj,2012,14,6
sj,2012,15,6
sj,2012,16,6
sj,2012,17,6
sj,2012,18,7
sj,2012,19,6
sj,2012,20,19
sj,2012,21,19
sj,2012,22,7
sj,2012,23,21
sj,2012,24,21
sj,2012,25,21
sj,2012,26,21
sj,2012,27,21
sj,2012,28,18
sj,2012,29,37
sj,2012,30,40
sj,2012,31,21
sj,2012,32,37
sj,2012,33,55
sj,2012,34,64
sj,2012,35,75
sj,2012,36,91
sj,2012,37,91
sj,2012,38,91
sj,2012,39,91
sj,2012,40,91
sj,2012,41,59
sj,2012,42,66
sj,2012,43,59
sj,2012,44,118
sj,2012,45,67
sj,2012,46,48
sj,2012,47,36
sj,2012,48,28
sj,2012,49,31
sj,2012,50,23
sj,2012,51,27
sj,2013,1,12
sj,2013,2,12
sj,2013,3,12
sj,2013,4,9
sj,2013,5,9
sj,2013,6,9
sj,2013,7,8
sj,2013,8,7
sj,2013,9,7
sj,2013,10,6
sj,2013,11,6
sj,2013,12,6
sj,2013,13,6
sj,2013,14,6
sj,2013,15,6
sj,2013,16,7
sj,2013,17,6
iq,2010,26,4
iq,2010,27,4
iq,2010,28,6
iq,2010,29,4
iq,2010,30,4
iq,2010,31,4
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,4
iq,2010,36,4
iq,2010,37,4
iq,2010,38,4
iq,2010,39,4
iq,2010,40,4
iq,2010,41,4
iq,2010,42,6
iq,2010,43,6
iq,2010,44,6
iq,2010,45,6
iq,2010,46,6
iq,2010,47,6
iq,2010,48,6
iq,2010,49,6
iq,2010,50,6
iq,2010,51,4
iq,2011,52,4
iq,2011,1,9
iq,2011,2,9
iq,2011,3,9
iq,2011,4,9
iq,2011,5,9
iq,2011,6,10
iq,2011,7,10
iq,2011,8,10
iq,2011,9,10
iq,2011,10,9
iq,2011,11,9
iq,2011,12,6
iq,2011,13,6
