city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,6
sj,2008,20,6
sj,2008,21,7
sj,2008,22,6
sj,2008,23,7
sj,2008,24,6
sj,2008,25,11
sj,2008,26,24
sj,2008,27,20
sj,2008,28,7
sj,2008,29,24
sj,2008,30,24
sj,2008,31,24
sj,2008,32,49
sj,2008,33,74
sj,2008,34,69
sj,2008,35,83
sj,2008,36,114
sj,2008,37,78
sj,2008,38,78
sj,2008,39,59
sj,2008,40,78
sj,2008,41,73
sj,2008,42,59
sj,2008,43,52
sj,2008,44,43
sj,2008,45,45
sj,2008,46,31
sj,2008,47,31
sj,2008,48,20
sj,2008,49,30
sj,2008,50,23
sj,2008,51,18
sj,2008,52,23
sj,2009,1,13
sj,2009,2,13
sj,2009,3,13
sj,2009,4,10
sj,2009,5,10
sj,2009,6,9
sj,2009,7,8
sj,2009,8,7
sj,2009,9,7
sj,2009,10,7
sj,2009,11,7
sj,2009,12,6
sj,2009,13,6
sj,2009,14,6
sj,2009,15,6
sj,2009,16,6
sj,2009,17,6
sj,2009,18,6
sj,2009,19,6
sj,2009,20,6
sj,2009,21,6
sj,2009,22,20
sj,2009,23,6
sj,2009,24,7
sj,2009,25,20
sj,2009,26,11
sj,2009,27,24
sj,2009,28,24
sj,2009,29,35
sj,2009,30,35
sj,2009,31,35
sj,2009,32,36
sj,2009,33,69
sj,2009,34,69
sj,2009,35,96
sj,2009,36,78
sj,2009,37,78
sj,2009,38,78
sj,2009,39,73
sj,2009,40,96
sj,2009,41,96
sj,2009,42,96
sj,2009,43,83
sj,2009,44,57
sj,2009,45,51
sj,2009,46,31
sj,2009,47,38
sj,2009,48,43
sj,2009,49,52
sj,2009,50,36
sj,2009,51,36
sj,2009,52,33
sj,2010,53,30
sj,2010,1,17
sj,2010,2,13
sj,2010,3,19
sj,2010,4,14
sj,2010,5,10
sj,2010,6,9
sj,2010,7,8
sj,2010,8,7
sj,2010,9,7
sj,2010,10,7
sj,2010,11,7
sj,2010,12,6
sj,2010,13,6
sj,2010,14,6
sj,2010,15,6
sj,2010,16,6
sj,2010,17,19
sj,2010,18,20
sj,2010,19,6
sj,2010,20,20
sj,2010,21,20
sj,2010,22,43
sj,2010,23,34
sj,2010,24,34
sj,2010,25,40
sj,2010,26,30
sj,2010,27,37
sj,2010,28,37
sj,2010,29,40
sj,2010,30,30
sj,2010,31,37
sj,2010,32,76
sj,2010,33,71
sj,2010,34,93
sj,2010,35,119
sj,2010,36,101
sj,2010,37,107
sj,2010,38,78
sj,2010,39,64
sj,2010,40,78
sj,2010,41,70
sj,2010,42,73
sj,2010,43,92
sj,2010,44,38
sj,2010,45,45
sj,2010,46,18
sj,2010,47,23
sj,2010,48,18
sj,2010,49,23
sj,2010,50,23
sj,2010,51,18
sj,2011,52,23
sj,2011,1,13
sj,2011,2,13
sj,2011,3,13
sj,2011,4,10
sj,2011,5,10
sj,2011,6,9
sj,2011,7,8
sj,2011,8,7
sj,2011,9,7
sj,2011,10,7
sj,2011,11,7
sj,2011,12,6
sj,2011,13,6
sj,2011,14,6
sj,2011,15,6
sj,2011,16,6
sj,2011,17,6
sj,2011,18,6
sj,2011,19,6
sj,2011,20,6
sj,2011,21,19
sj,2011,22,28
sj,2011,23,19
sj,2011,24,40
sj,2011,25,30
sj,2011,26,30
sj,2011,27,33
sj,2011,28,30
sj,2011,29,27
sj,2011,30,33
sj,2011,31,31
sj,2011,32,73
sj,2011,33,71
sj,2011,34,116
sj,2011,35,70
sj,2011,36,73
sj,2011,37,83
sj,2011,38,65
sj,2011,39,64
sj,2011,40,94
sj,2011,41,81
sj,2011,42,65
sj,2011,43,58
sj,2011,44,50
sj,2011,45,50
sj,2011,46,38
sj,2011,47,31
sj,2011,48,21
sj,2011,49,23
sj,2011,50,18
sj,2011,51,23
sj,2012,52,23
sj,2012,1,13
sj,2012,2,13
sj,2012,3,13
sj,2012,4,10
sj,2012,5,10
sj,2012,6,9
sj,2012,7,8
sj,2012,8,7
sj,2012,9,7
sj,2012,10,7
sj,2012,11,7
sj,2012,12,6
sj,2012,13,6
sj,2012,14,6
sj,2012,15,6
sj,2012,16,6
sj,2012,17,6
sj,2012,18,7
sj,2012,19,6
sj,2012,20,20
sj,2012,21,20
sj,2012,22,7
sj,2012,23,22
sj,2012,24,22
sj,2012,25,24
sj,2012,26,24
sj,2012,27,24
sj,2012,28,19
sj,2012,29,35
sj,2012,30,37
sj,2012,31,24
sj,2012,32,47
sj,2012,33,71
sj,2012,34,76
sj,2012,35,83
sj,2012,36,94
sj,2012,37,94
sj,2012,38,94
sj,2012,39,94
sj,2012,40,94
sj,2012,41,73
sj,2012,42,78
sj,2012,43,73
sj,2012,44,98
sj,2012,45,64
sj,2012,46,51
sj,2012,47,43
sj,2012,48,31
sj,2012,49,33
sj,2012,50,27
sj,2012,51,23
sj,2013,1,13
sj,2013,2,13
sj,2013,3,13
sj,2013,4,10
sj,2013,5,10
sj,2013,6,9
sj,2013,7,8
sj,2013,8,7
sj,2013,9,7
sj,2013,10,7
sj,2013,11,7
sj,2013,12,6
sj,2013,13,6
sj,2013,14,6
sj,2013,15,6
sj,2013,16,7
sj,2013,17,6
iq,2010,26,5
iq,2010,27,5
iq,2010,28,5
iq,2010,29,5
iq,2010,30,5
iq,2010,31,5
iq,2010,32,5
iq,2010,33,5
iq,2010,34,5
iq,2010,35,5
iq,2010,36,5
iq,2010,37,5
iq,2010,38,5
iq,2010,39,5
iq,2010,40,5
iq,2010,41,5
iq,2010,42,5
iq,2010,43,5
iq,2010,44,5
iq,2010,45,5
iq,2010,46,5
iq,2010,47,5
iq,2010,48,5
iq,2010,49,5
iq,2010,50,5
iq,2010,51,5
iq,2011,52,5
iq,2011,1,10
iq,2011,2,10
iq,2011,3,10
iq,2011,4,10
iq,2011,5,10
iq,2011,6,11
iq,2011,7,11
iq,2011,8,11
iq,2011,9,11
iq,2011,10,10
iq,2011,11,9
iq,2011,12,7
iq,2011,13,5
